TANGGAL,KODE BARANG,NAMA BARANG,PENJUALAN,HARGA,CUSTOMER,NO. INVOICE
23-Feb-21,A237,Opp Lakban Bening Tebal Borneo,50,  16.000 ,PENGETIKAN JAWA TIMUR 4,
23-Feb-21,A240,Odner Bintex Besar,57,  31.000 ,PENGETIKAN JAWA TIMUR 4,
23-Feb-21,A243,Penggaris ButterFly 30Cm,74,  4.000 ,DISDUKCAPIL - KOTA SORONG,
23-Feb-21,A255,Pengghapus White Board,102,  11.000 ,DISDUKCAPIL - KOTA SORONG,
23-Feb-21,A256,Penghapus Pensil Steadler,100,  3.500 ,DISDUKCAPIL - KOTA SORONG,
23-Feb-21,A264,Pulpen Faster C6 Hitam,90,  4.000 ,DISDUKCAPIL - KOTA SORONG,
23-Feb-21,A265,Pulpen Faster C6 Biru,15,  4.000 ,DISDUKCAPIL - KOTA SORONG,
23-Feb-21,A275,Pulpen Snowman V5 Biru,7,  4.500 ,DISDUKCAPIL - KOTA SORONG,
23-Feb-21,A323,Stapler Max Besar,83,  60.500 ,DISDUKCAPIL - KOTA SORONG,
23-Feb-21,A324,Staples no.10,37,  3.000 ,DISDUKCAPIL - KOTA SORONG,
23-Feb-21,A327,Staples Etona No.3,48,  14.000 ,PENGETIKAN JAWA TIMUR 4,
23-Feb-21,A329,Steples Etona 23/17,33,  25.000 ,PENGETIKAN JAWA TIMUR 4,
24-Feb-21,A008,Amplop Coklat Tali Borneo A4,111,  55.000 ,AMIRA STATIONERY,
24-Feb-21,A022,Binder Clips Joyko 260,32,  18.500 ,AMIRA STATIONERY,
24-Feb-21,A039,Binder Clips Trigonal Kenko No.3,87,  5.500 ,AMIRA STATIONERY,
24-Feb-21,A051,Buku Tulis SIDU 38,142,  38.000 ,AMIRA STATIONERY,
24-Feb-21,A063,Buku Ekspedisi Ria 50,65,  29.000 ,AMIRA STATIONERY,
24-Feb-21,A082,Buku Folio 100 Ria,120,  83.000 ,AMIRA STATIONERY,
24-Feb-21,A090,Buku Gambar Borneo A4,120,  20.000 ,AMIRA STATIONERY,
24-Feb-21,A094,Bantalan Stempel Joyko,56,  15.000 ,AMIRA STATIONERY,
24-Feb-21,A112,Box File Borneo Plastik,17,  13.500 ,AMIRA STATIONERY,
24-Feb-21,A139,"Double Tape 1/4"" 3M",19,  7.000 ,AMIRA STATIONERY,
24-Feb-21,A171,Kertas SIDU F4 70 Gsm,25,  51.500 ,AMIRA STATIONERY,
24-Feb-21,A180,Kertas Manila Gulung,115,  38.000 ,AMIRA STATIONERY,
24-Feb-21,A183,Kertas Buffalo A4,148,  32.000 ,AMIRA STATIONERY,
24-Feb-21,A183,Kertas Buffalo A4,102,  32.000 ,AMIRA STATIONERY,
24-Feb-21,A194,Kertas Photo V-tec A3,18,  40.000 ,AMIRA STATIONERY,
24-Feb-21,A228,Mika Transparant A4,50,  38.000 ,AMIRA STATIONERY,
24-Feb-21,A234,Map Tali Plastik,112,  53.000 ,AMIRA STATIONERY,
24-Feb-21,A234,Map Tali Plastik,50,  53.000 ,AMIRA STATIONERY,
24-Feb-21,A238,Opp Lakban Bening Tipis Daimaru,64,  13.000 ,AMIRA STATIONERY,
24-Feb-21,A240,Odner Bintex Besar,82,  31.000 ,AMIRA STATIONERY,
24-Feb-21,A243,Penggaris ButterFly 30Cm,142,  4.000 ,AMIRA STATIONERY,
24-Feb-21,A267,Pulpen Faster C600 Biru,142,  3.500 ,AMIRA STATIONERY,
24-Feb-21,A274,Pulpen Snowman V5 Hitam,133,  4.500 ,AMIRA STATIONERY,
24-Feb-21,A281,Pulpen Pilot Std Biru,100,  3.000 ,AMIRA STATIONERY,
24-Feb-21,A288,Pulpen Zebra hitam,5,  5.500 ,AMIRA STATIONERY,
24-Feb-21,A329,Steples Etona 23/17,130,  25.000 ,AMIRA STATIONERY,
25-Feb-21,A028,Binder Clips Kenko 260,27,  18.500 ,BP2IP SORONG,
25-Feb-21,A112,Box File Borneo Plastik,150,  13.500 ,BP2IP SORONG,
25-Feb-21,A115,Box File Joyko Kawat,14,  27.500 ,BP2IP SORONG,
25-Feb-21,A125,Cutter Hore A-300,92,  5.500 ,BP2IP SORONG,
25-Feb-21,A159,Isi Cutter Hore L-500,127,  5.000 ,BP2IP SORONG,
25-Feb-21,A170,Kertas Sidu A4 70 Gsm,10,  47.000 ,BP2IP SORONG,
25-Feb-21,A216,Lem Fox Botol Sedang,50,  16.000 ,BP2IP SORONG,
25-Feb-21,A222,Lem Joyko Stick Kecil,10,  4.000 ,BP2IP SORONG,
25-Feb-21,A245,Penggaris V-tec 20Cm,9,  2.000 ,BP2IP SORONG,
25-Feb-21,A248,Penggaris Besi 30Cm,142,  14.000 ,BP2IP SORONG,
25-Feb-21,A258,Penghapus Pensil FC,45,  2.500 ,BP2IP SORONG,
25-Feb-21,A261,Pensil 2B Faber Castel,19,  7.000 ,BP2IP SORONG,
25-Feb-21,A325,Staples no.3,48,  8.000 ,BP2IP SORONG,
25-Feb-21,A348,Tip Ex Joyko Merah,6,  6.000 ,BP2IP SORONG,
26-Feb-21,A008,Amplop Coklat Tali Borneo A4,9,  55.000 ,BPKAD KOTA SORONG,
26-Feb-21,A009,Amplop Cokelat Tali Borneo B5,9,  38.000 ,BPKAD KOTA SORONG,
26-Feb-21,A010,Amplop Coklat Tali Envlope F4,7,  83.000 ,BPKAD KOTA SORONG,
26-Feb-21,A016,Amplop Cokelat Polos Gaji,49,  30.000 ,BPKAD KOTA SORONG,
26-Feb-21,A105,Baterai Eveready A3 isi 10,30,  40.000 ,BPKAD KOTA SORONG,
26-Feb-21,A106,Baterai Eveready A3 isi 2,70,  10.000 ,BPKAD KOTA SORONG,
26-Feb-21,A116,Correction Tape Joyko Kecil,30,  3.600 ,BPKAD KOTA SORONG,
26-Feb-21,A116,Correction Tape Joyko Kecil,62,  3.600 ,BPKAD KOTA SORONG,
26-Feb-21,A119,Correction Tape V-tec Besar,37,  6.000 ,BPKAD KOTA SORONG,
26-Feb-21,A124,Cutter Hore L-500,130,  12.000 ,BPKAD KOTA SORONG,
26-Feb-21,A124,Cutter Hore L-500,45,  12.000 ,BPKAD KOTA SORONG,
26-Feb-21,A125,Cutter Hore A-300,31,  5.500 ,BPKAD KOTA SORONG,
26-Feb-21,A125,Cutter Hore A-300,141,  5.500 ,BPKAD KOTA SORONG,
26-Feb-21,A134,"Double Tape 1/4"" Daimaru",56,  5.000 ,BPKAD KOTA SORONG,
26-Feb-21,A185,Kertas Art Paper A4,108,  32.000 ,BPKAD KOTA SORONG,
26-Feb-21,A205,Kertas HVS Gulungan Besar,21,  350.000 ,BPKAD KOTA SORONG,
26-Feb-21,A211,Lem Kertas Dlukol Kecil,40,  4.000 ,BPKAD KOTA SORONG,
26-Feb-21,A215,Lem Fox Botol Kecil,8,  10.000 ,BPKAD KOTA SORONG,
26-Feb-21,A216,Lem Fox Botol Sedang,10,  16.000 ,BPKAD KOTA SORONG,
26-Feb-21,A245,Penggaris V-tec 20Cm,35,  2.000 ,BPKAD KOTA SORONG,
26-Feb-21,A246,Penggaris V-tec 30Cm,50,  3.000 ,BPKAD KOTA SORONG,
26-Feb-21,A278,Pulpen Standart AE 7 Biru ,24,  3.000 ,BPKAD KOTA SORONG,
26-Feb-21,A315,Solatib Nachi Sedang,63,  7.000 ,BPKAD KOTA SORONG,
26-Feb-21,A345,Tempat Pensil Joyko Sleting,64,  14.000 ,BPKAD KOTA SORONG,
26-Feb-21,A356,Tinta Spidol Karung,109,  20.000 ,BPKAD KOTA SORONG,
27-Feb-21,A001,Amplop PPL 90PPS,35,  26.000 ,PT. ANJ,
27-Feb-21,A011,Amplop Coklat Tali Envlope A4,115,  65.000 ,PT. ANJ,
27-Feb-21,A015,Amplop Cokelat Polos B5,105,  35.000 ,PT. ANJ,
27-Feb-21,A132,"Double Tape 1.1/5"" Borneo",38,  8.000 ,PT. ANJ,
27-Feb-21,A146,Double Folio Garis SIDU,78,  55.000 ,PT. ANJ,
27-Feb-21,A156,Gantungan Kunci Bulat,60,  1.000 ,PT. ANJ,
27-Feb-21,A170,Kertas Sidu A4 70 Gsm,10,  47.000 ,PT. ANJ,
27-Feb-21,A171,Kertas SIDU F4 70 Gsm,25,  51.500 ,PT. ANJ,
27-Feb-21,A213,Lem Korea G,46,  15.000 ,PT. ANJ,
27-Feb-21,A215,Lem Fox Botol Kecil,25,  10.000 ,PT. ANJ,
27-Feb-21,A245,Penggaris V-tec 20Cm,78,  2.000 ,PT. ANJ,
27-Feb-21,A246,Penggaris V-tec 30Cm,20,  3.000 ,PT. ANJ,
27-Feb-21,A256,Penghapus Pensil Steadler,76,  3.500 ,PT. ANJ,
27-Feb-21,A315,Solatib Nachi Sedang,50,  7.000 ,PT. ANJ,
27-Feb-21,A346,Tempat Pensil Joyko Rak,36,  20.000 ,PT. ANJ,
1-Mar-21,A001,Amplop PPL 90PPS,50,  26.000 ,LILING DIGITAL PRINTING,
1-Mar-21,A011,Amplop Coklat Tali Envlope A4,39,  65.000 ,LILING DIGITAL PRINTING,
1-Mar-21,A111,Baterai Eveready A2,96,  2.000 ,LILING DIGITAL PRINTING,
1-Mar-21,A128,Cutter Stenlis Tukang Besar,29,  15.000 ,LILING DIGITAL PRINTING,
1-Mar-21,A156,Gantungan Kunci Bulat,80,  1.000 ,LILING DIGITAL PRINTING,
1-Mar-21,A205,Kertas HVS Gulungan Besar,111,  350.000 ,LILING DIGITAL PRINTING,
1-Mar-21,A245,Penggaris V-tec 20Cm,80,  2.000 ,LILING DIGITAL PRINTING,
1-Mar-21,A256,Penghapus Pensil Steadler,56,  3.500 ,LILING DIGITAL PRINTING,
2-Mar-21,A017,Binder Clips Joyko 105,137,  4.000 ,SUPM KOTA SORONG,
2-Mar-21,A048,Block Notes Ria A5 100,133,  65.000 ,SUPM KOTA SORONG,
2-Mar-21,A054,Buku Tulis Kotak Matematika SIDU,60,  37.000 ,SUPM KOTA SORONG,
2-Mar-21,A111,Baterai Eveready A2,23,  2.000 ,SUPM KOTA SORONG,
2-Mar-21,A158,Isi Cutter Joyko A-300,9,  3.000 ,SUPM KOTA SORONG,
2-Mar-21,A170,Kertas Sidu A4 70 Gsm,20,  47.000 ,SUPM KOTA SORONG,
2-Mar-21,A205,Kertas HVS Gulungan Besar,22,  350.000 ,SUPM KOTA SORONG,
2-Mar-21,A215,Lem Fox Botol Kecil,20,  10.000 ,SUPM KOTA SORONG,
2-Mar-21,A225,Lem Fox Aibon Kaleng Kecil,6,  12.000 ,SUPM KOTA SORONG,
2-Mar-21,A247,Penggaris V-Tec 50Cm,83,  5.000 ,SUPM KOTA SORONG,
2-Mar-21,A279,Pulpen Standart AE 7 Merah,40,  3.000 ,SUPM KOTA SORONG,
2-Mar-21,A318,Solatib Kabel Niron,124,  10.000 ,SUPM KOTA SORONG,
2-Mar-21,A335,Stabilo Boss Kecil,14,  8.500 ,SUPM KOTA SORONG,
2-Mar-21,A345,Tempat Pensil Joyko Sleting,40,  14.000 ,SUPM KOTA SORONG,
3-Mar-21,A008,Amplop Coklat Tali Borneo A4,125,  55.000 ,AMIRA STATIONERY,
3-Mar-21,A048,Block Notes Ria A5 100,149,  65.000 ,AMIRA STATIONERY,
3-Mar-21,A048,Block Notes Ria A5 100,122,  65.000 ,AMIRA STATIONERY,
3-Mar-21,A116,Correction Tape Joyko Kecil,56,  3.600 ,AMIRA STATIONERY,
3-Mar-21,A117,Correction Tape Joyko Merah,36,  4.000 ,AMIRA STATIONERY,
3-Mar-21,A156,Gantungan Kunci Bulat,13,  1.000 ,AMIRA STATIONERY,
3-Mar-21,A245,Penggaris V-tec 20Cm,29,  2.000 ,AMIRA STATIONERY,
3-Mar-21,A246,Penggaris V-tec 30Cm,80,  3.000 ,AMIRA STATIONERY,
3-Mar-21,A248,Penggaris Besi 30Cm,95,  14.000 ,AMIRA STATIONERY,
3-Mar-21,A259,Pensil 2B Joyko,97,  4.000 ,AMIRA STATIONERY,
3-Mar-21,A289,Pulpen Boxi Hitam,36,  10.000 ,AMIRA STATIONERY,
4-Mar-21,A007,Amplop Cokelat Tali Borneo F4,24,  68.000 ,BP2IP SORONG,
4-Mar-21,A015,Amplop Cokelat Polos B5,56,  35.000 ,BP2IP SORONG,
4-Mar-21,A078,Buku Folio 100 Borneo,132,  86.000 ,BP2IP SORONG,
4-Mar-21,A117,Correction Tape Joyko Merah,60,  4.000 ,BP2IP SORONG,
4-Mar-21,A118,Correction Tape V-tec Kecil,35,  3.000 ,BP2IP SORONG,
4-Mar-21,A125,Cutter Hore A-300,64,  5.500 ,BP2IP SORONG,
4-Mar-21,A126,Cutter Xianjiang L-500 Renceng,132,  30.000 ,BP2IP SORONG,
4-Mar-21,A156,Gantungan Kunci Bulat,50,  1.000 ,BP2IP SORONG,
4-Mar-21,A158,Isi Cutter Joyko A-300,73,  3.000 ,BP2IP SORONG,
4-Mar-21,A205,Kertas HVS Gulungan Besar,86,  350.000 ,BP2IP SORONG,
4-Mar-21,A215,Lem Fox Botol Kecil,20,  10.000 ,BP2IP SORONG,
4-Mar-21,A246,Penggaris V-tec 30Cm,50,  3.000 ,BP2IP SORONG,
4-Mar-21,A346,Tempat Pensil Joyko Rak,144,  20.000 ,BP2IP SORONG,
4-Mar-21,A348,Tip Ex Joyko Merah,149,  6.000 ,BP2IP SORONG,
5-Mar-21,A001,Amplop PPL 90PPS,35,  26.000 ,RS. MUTIARA,
5-Mar-21,A007,Amplop Cokelat Tali Borneo F4,141,  68.000 ,RS. MUTIARA,
5-Mar-21,A015,Amplop Cokelat Polos B5,100,  35.000 ,RS. MUTIARA,
5-Mar-21,A114,Box File Borneo Kawat,56,  22.500 ,RS. MUTIARA,
5-Mar-21,A117,Correction Tape Joyko Merah,37,  4.000 ,RS. MUTIARA,
5-Mar-21,A146,Double Folio Garis SIDU,7,  55.000 ,RS. MUTIARA,
5-Mar-21,A170,Kertas Sidu A4 70 Gsm,13,  47.000 ,RS. MUTIARA,
5-Mar-21,A171,Kertas SIDU F4 70 Gsm,6,  51.500 ,RS. MUTIARA,
5-Mar-21,A212,Lem Kertas Dlukol Besar,7,  8.000 ,RS. MUTIARA,
5-Mar-21,A215,Lem Fox Botol Kecil,11,  10.000 ,RS. MUTIARA,
5-Mar-21,A224,Lem Power Glue Kecil,50,  2.500 ,RS. MUTIARA,
5-Mar-21,A245,Penggaris V-tec 20Cm,25,  2.000 ,RS. MUTIARA,
6-Mar-21,A115,Box File Joyko Kawat,56,  27.500 ,PT. PPM,
6-Mar-21,A117,Correction Tape Joyko Merah,40,  4.000 ,PT. PPM,
6-Mar-21,A123,Cutter Vtec A-300,32,  7.000 ,PT. PPM,
6-Mar-21,A125,Cutter Hore A-300,9,  5.500 ,PT. PPM,
6-Mar-21,A145,"Double Tape 2"" Busa 3M",104,  38.000 ,PT. PPM,
6-Mar-21,A155,Gunting Seng Besar,114,  25.000 ,PT. PPM,
6-Mar-21,A156,Gantungan Kunci Bulat,40,  1.000 ,PT. PPM,
6-Mar-21,A170,Kertas Sidu A4 70 Gsm,12,  47.000 ,PT. PPM,
6-Mar-21,A215,Lem Fox Botol Kecil,35,  10.000 ,PT. PPM,
6-Mar-21,A216,Lem Fox Botol Sedang,60,  16.000 ,PT. PPM,
6-Mar-21,A226,Lem Aica Aibon Kaleng Kecil,6,  15.000 ,PT. PPM,
6-Mar-21,A245,Penggaris V-tec 20Cm,56,  2.000 ,PT. PPM,
6-Mar-21,A246,Penggaris V-tec 30Cm,35,  3.000 ,PT. PPM,
6-Mar-21,A344,Spidol Art Line 70,36,  8.000 ,PT. PPM,
6-Mar-21,A346,Tempat Pensil Joyko Rak,6,  20.000 ,PT. PPM,
8-Mar-21,A045,Block Notes PPL A5 100,54,  70.000 ,DINAS PENDIDIKAN - TAMBRAUW,
8-Mar-21,A107,Baterai Eveready A3,13,  2.000 ,DINAS PENDIDIKAN - TAMBRAUW,
8-Mar-21,A116,Correction Tape Joyko Kecil,47,  3.600 ,DINAS PENDIDIKAN - TAMBRAUW,
8-Mar-21,A118,Correction Tape V-tec Kecil,19,  3.000 ,DINAS PENDIDIKAN - TAMBRAUW,
8-Mar-21,A156,Gantungan Kunci Bulat,40,  1.000 ,DINAS PENDIDIKAN - TAMBRAUW,
8-Mar-21,A170,Kertas Sidu A4 70 Gsm,20,  47.000 ,DINAS PENDIDIKAN - TAMBRAUW,
8-Mar-21,A216,Lem Fox Botol Sedang,30,  16.000 ,DINAS PENDIDIKAN - TAMBRAUW,
8-Mar-21,A245,Penggaris V-tec 20Cm,43,  2.000 ,DINAS PENDIDIKAN - TAMBRAUW,
8-Mar-21,A315,Solatib Nachi Sedang,140,  7.000 ,DINAS PENDIDIKAN - TAMBRAUW,
8-Mar-21,A335,Stabilo Boss Kecil,150,  8.500 ,DINAS PENDIDIKAN - TAMBRAUW,
8-Mar-21,A345,Tempat Pensil Joyko Sleting,50,  14.000 ,DINAS PENDIDIKAN - TAMBRAUW,
9-Mar-21,A001,Amplop PPL 90PPS,25,  26.000 ,RS. SELEBESOLU,
9-Mar-21,A007,Amplop Cokelat Tali Borneo F4,25,  68.000 ,RS. SELEBESOLU,
9-Mar-21,A118,Correction Tape V-tec Kecil,63,  3.000 ,RS. SELEBESOLU,
9-Mar-21,A123,Cutter Vtec A-300,81,  7.000 ,RS. SELEBESOLU,
9-Mar-21,A135,"Double Tape 1/5"" Daimaru",116,  5.000 ,RS. SELEBESOLU,
9-Mar-21,A145,"Double Tape 2"" Busa 3M",38,  38.000 ,RS. SELEBESOLU,
9-Mar-21,A156,Gantungan Kunci Bulat,33,  1.000 ,RS. SELEBESOLU,
9-Mar-21,A210,Kertas Continous Form 2Ply SIDU,100,  315.000 ,RS. SELEBESOLU,
9-Mar-21,A214,Lem Korea C,114,  10.000 ,RS. SELEBESOLU,
9-Mar-21,A215,Lem Fox Botol Kecil,5,  10.000 ,RS. SELEBESOLU,
9-Mar-21,A224,Lem Power Glue Kecil,35,  2.500 ,RS. SELEBESOLU,
9-Mar-21,A246,Penggaris V-tec 30Cm,20,  3.000 ,RS. SELEBESOLU,
10-Mar-21,A145,"Double Tape 2"" Busa 3M",56,  38.000 ,BPS KAB. SORONG,
10-Mar-21,A156,Gantungan Kunci Bulat,17,  1.000 ,BPS KAB. SORONG,
10-Mar-21,A171,Kertas SIDU F4 70 Gsm,11,  51.500 ,BPS KAB. SORONG,
10-Mar-21,A178,Kertas SIDU A3 80 Gsm,35,  99.000 ,BPS KAB. SORONG,
10-Mar-21,A211,Lem Kertas Dlukol Kecil,105,  4.000 ,BPS KAB. SORONG,
10-Mar-21,A213,Lem Korea G,30,  15.000 ,BPS KAB. SORONG,
10-Mar-21,A214,Lem Korea C,10,  10.000 ,BPS KAB. SORONG,
10-Mar-21,A215,Lem Fox Botol Kecil,6,  10.000 ,BPS KAB. SORONG,
10-Mar-21,A225,Lem Fox Aibon Kaleng Kecil,5,  12.000 ,BPS KAB. SORONG,
10-Mar-21,A246,Penggaris V-tec 30Cm,20,  3.000 ,BPS KAB. SORONG,
10-Mar-21,A248,Penggaris Besi 30Cm,27,  14.000 ,BPS KAB. SORONG,
10-Mar-21,A255,Pengghapus White Board,135,  11.000 ,BPS KAB. SORONG,
12-Mar-21,A015,Amplop Cokelat Polos B5,85,  35.000 ,DINAS SOSIAL - KAB. SORONG,
12-Mar-21,A024,Binder Clips Kenko 107,138,  4.000 ,DINAS SOSIAL - KAB. SORONG,
12-Mar-21,A046,Block Notes RIA A5 25,111,  25.000 ,DINAS SOSIAL - KAB. SORONG,
12-Mar-21,A048,Block Notes Ria A5 100,62,  65.000 ,DINAS SOSIAL - KAB. SORONG,
12-Mar-21,A117,Correction Tape Joyko Merah,5,  4.000 ,DINAS SOSIAL - KAB. SORONG,
12-Mar-21,A117,Correction Tape Joyko Merah,62,  4.000 ,DINAS SOSIAL - KAB. SORONG,
12-Mar-21,A141,"Double Tape 1"" 3M",117,  15.000 ,DINAS SOSIAL - KAB. SORONG,
12-Mar-21,A153,Gunting Joyko Besar,17,  20.000 ,DINAS SOSIAL - KAB. SORONG,
12-Mar-21,A211,Lem Kertas Dlukol Kecil,50,  4.000 ,DINAS SOSIAL - KAB. SORONG,
12-Mar-21,A214,Lem Korea C,63,  10.000 ,DINAS SOSIAL - KAB. SORONG,
12-Mar-21,A215,Lem Fox Botol Kecil,20,  10.000 ,DINAS SOSIAL - KAB. SORONG,
12-Mar-21,A225,Lem Fox Aibon Kaleng Kecil,4,  12.000 ,DINAS SOSIAL - KAB. SORONG,
12-Mar-21,A243,Penggaris ButterFly 30Cm,68,  4.000 ,DINAS SOSIAL - KAB. SORONG,
12-Mar-21,A244,Penggaris ButterFly 20Cm,82,  2.500 ,DINAS SOSIAL - KAB. SORONG,
12-Mar-21,A245,Penggaris V-tec 20Cm,65,  2.000 ,DINAS SOSIAL - KAB. SORONG,
13-Mar-21,A001,Amplop PPL 90PPS,20,  26.000 ,BLK KOTA SORONG,
13-Mar-21,A007,Amplop Cokelat Tali Borneo F4,107,  68.000 ,BLK KOTA SORONG,
13-Mar-21,A015,Amplop Cokelat Polos B5,75,  35.000 ,BLK KOTA SORONG,
13-Mar-21,A024,Binder Clips Kenko 107,105,  4.000 ,BP2IP SORONG,
13-Mar-21,A025,Binder Clips Kenko 111,27,  6.000 ,BLK KOTA SORONG,
13-Mar-21,A044,Block Notes PPL A5 50,120,  45.000 ,BLK KOTA SORONG,
13-Mar-21,A045,Block Notes PPL A5 100,102,  70.000 ,BLK KOTA SORONG,
13-Mar-21,A115,Box File Joyko Kawat,50,  27.500 ,BLK KOTA SORONG,
13-Mar-21,A118,Correction Tape V-tec Kecil,50,  3.000 ,BP2IP SORONG,
13-Mar-21,A118,Correction Tape V-tec Kecil,19,  3.000 ,BLK KOTA SORONG,
13-Mar-21,A125,Cutter Hore A-300,137,  5.500 ,BLK KOTA SORONG,
13-Mar-21,A135,"Double Tape 1/5"" Daimaru",133,  5.000 ,BLK KOTA SORONG,
13-Mar-21,A146,Double Folio Garis SIDU,114,  55.000 ,BP2IP SORONG,
13-Mar-21,A211,Lem Kertas Dlukol Kecil,50,  4.000 ,BLK KOTA SORONG,
13-Mar-21,A225,Lem Fox Aibon Kaleng Kecil,20,  12.000 ,BLK KOTA SORONG,
13-Mar-21,A245,Penggaris V-tec 20Cm,100,  2.000 ,BLK KOTA SORONG,
13-Mar-21,A246,Penggaris V-tec 30Cm,13,  3.000 ,BP2IP SORONG,
13-Mar-21,A246,Penggaris V-tec 30Cm,50,  3.000 ,BLK KOTA SORONG,
13-Mar-21,A345,Tempat Pensil Joyko Sleting,25,  14.000 ,BLK KOTA SORONG,
13-Mar-21,A346,Tempat Pensil Joyko Rak,92,  20.000 ,BLK KOTA SORONG,
15-Mar-21,A015,Amplop Cokelat Polos B5,23,  35.000 ,SUPM KOTA SORONG,
15-Mar-21,A035,Binder Clips Trigonal Joyko No.1,97,  4.500 ,SUPM KOTA SORONG,
15-Mar-21,A045,Block Notes PPL A5 100,109,  70.000 ,PT. PMP,
15-Mar-21,A056,Buku Tulis Kiky 38,123,  42.000 ,PT. PMP,
15-Mar-21,A058,Buku Tulis Kiky 100,138,  59.000 ,PT. PMP,
15-Mar-21,A111,Baterai Eveready A2,68,  2.000 ,SUPM KOTA SORONG,
15-Mar-21,A135,"Double Tape 1/5"" Daimaru",63,  5.000 ,SUPM KOTA SORONG,
15-Mar-21,A146,Double Folio Garis SIDU,92,  55.000 ,PT. PMP,
15-Mar-21,A147,Folder File Borneo F4,23,  15.000 ,SUPM KOTA SORONG,
15-Mar-21,A155,Gunting Seng Besar,36,  25.000 ,SUPM KOTA SORONG,
15-Mar-21,A188,Kertas Photo Glosy Epson A4,69,  26.000 ,PT. PMP,
15-Mar-21,A189,Kertas Photo Glosy Epson F4,15,  44.000 ,SUPM KOTA SORONG,
15-Mar-21,A215,Lem Fox Botol Kecil,25,  10.000 ,SUPM KOTA SORONG,
15-Mar-21,A224,Lem Power Glue Kecil,25,  2.500 ,SUPM KOTA SORONG,
15-Mar-21,A254,Penghapus Black Board,59,  8.000 ,PT. PMP,
15-Mar-21,A321,Stapler Joyko Mini,136,  5.000 ,SUPM KOTA SORONG,
16-Mar-21,A064,Buku Ekspedisi Ria 100,68,  40.000 ,PT. ANJ,
16-Mar-21,A113,Box File Joyko Plastik,73,  14.000 ,PT. ANJ,
16-Mar-21,A114,Box File Borneo Kawat,57,  22.500 ,PT. PPM,
16-Mar-21,A119,Correction Tape V-tec Besar,78,  6.000 ,PT. ANJ,
16-Mar-21,A185,Kertas Art Paper A4,70,  32.000 ,PT. ANJ,
16-Mar-21,A215,Lem Fox Botol Kecil,5,  10.000 ,PT. ANJ,
16-Mar-21,A226,Lem Aica Aibon Kaleng Kecil,20,  15.000 ,PT. PPM,
16-Mar-21,A228,Mika Transparant A4,5,  38.000 ,PT. PPM,
16-Mar-21,A245,Penggaris V-tec 20Cm,5,  2.000 ,PT. ANJ,
16-Mar-21,A248,Penggaris Besi 30Cm,99,  14.000 ,PT. ANJ,
16-Mar-21,A256,Penghapus Pensil Steadler,125,  3.500 ,PT. ANJ,
16-Mar-21,A258,Penghapus Pensil FC,143,  2.500 ,PT. PPM,
16-Mar-21,A325,Staples no.3,9,  8.000 ,PT. PPM,
16-Mar-21,A326,Staples Etona no.10,78,  4.500 ,BANK PAPUA AIMAS,
16-Mar-21,A333,Stabilo Joyko Mini,85,  3.000 ,PT. PPM,
17-Mar-21,A006,Amplop Merpati 104 PPS,15,  15.000 ,BPKAD KOTA SORONG,
17-Mar-21,A115,Box File Joyko Kawat,30,  27.500 ,BANK PAPUA AIMAS,
17-Mar-21,A170,Kertas Sidu A4 70 Gsm,10,  47.000 ,BPKAD KOTA SORONG,
17-Mar-21,A171,Kertas SIDU F4 70 Gsm,10,  51.500 ,BPKAD KOTA SORONG,
17-Mar-21,A215,Lem Fox Botol Kecil,5,  10.000 ,BANK PAPUA AIMAS,
17-Mar-21,A215,Lem Fox Botol Kecil,10,  10.000 ,BPKAD KOTA SORONG,
17-Mar-21,A245,Penggaris V-tec 20Cm,10,  2.000 ,BANK PAPUA AIMAS,
17-Mar-21,A246,Penggaris V-tec 30Cm,24,  3.000 ,BANK PAPUA AIMAS,
17-Mar-21,A254,Penghapus Black Board,37,  8.000 ,BANK PAPUA AIMAS,
17-Mar-21,A255,Pengghapus White Board,27,  11.000 ,BANK PAPUA AIMAS,
17-Mar-21,A256,Penghapus Pensil Steadler,50,  3.500 ,BANK PAPUA AIMAS,
17-Mar-21,A334,Stabilo Joyko Sedang,71,  6.000 ,BANK PAPUA AIMAS,
18-Mar-21,A116,Correction Tape Joyko Kecil,94,  3.600 ,PERCETAKAN ADORA SORONG 2,
18-Mar-21,A155,Gunting Seng Besar,146,  25.000 ,PERCETAKAN ADORA SORONG 2,
18-Mar-21,A170,Kertas Sidu A4 70 Gsm,20,  47.000 ,PERCETAKAN ADORA SORONG 2,
18-Mar-21,A215,Lem Fox Botol Kecil,25,  10.000 ,PERCETAKAN ADORA SORONG 2,
18-Mar-21,A219,Lem UHU Stick Besar,5,  30.000 ,PERCETAKAN ADORA SORONG 2,
18-Mar-21,A225,Lem Fox Aibon Kaleng Kecil,60,  12.000 ,PERCETAKAN ADORA SORONG 2,
18-Mar-21,A225,Lem Fox Aibon Kaleng Kecil,35,  12.000 ,PERCETAKAN ADORA SORONG 2,
18-Mar-21,A246,Penggaris V-tec 30Cm,50,  3.000 ,PERCETAKAN ADORA SORONG 2,
18-Mar-21,A247,Penggaris V-Tec 50Cm,138,  5.000 ,PERCETAKAN ADORA SORONG 2,
18-Mar-21,A255,Pengghapus White Board,24,  11.000 ,PERCETAKAN ADORA SORONG 2,
